city,town,ward,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_AL_P,MAIN_HH_P,MAIN_OT_P,MARGWORK_P,MARGWORK_M,MARGWORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,pop_2026_est
Gandhinagar,Gandhinagar (NA) WARD NO.-0028,28,2471,11108,5743,5365,851,484,367,1993,1050,943,329,173,156,9980,5213,4767,1128,530,598,3798,2895,903,3542,2740,802,16,14,21,3491,256,155,101,7310,2848,4462,16088
Gandhinagar,Gandhinagar (NA) WARD NO.-0029,29,408,1743,884,859,114,56,58,163,86,77,64,28,36,1584,813,771,159,71,88,652,480,172,568,438,130,6,2,4,556,84,42,42,1091,404,687,2524
Gandhinagar,Gandhinagar (NA) WARD NO.-0030,30,1014,4974,2595,2379,886,480,406,2087,1105,982,230,113,117,2848,1757,1091,2126,838,1288,1865,1343,522,1225,1025,200,14,23,66,1122,640,318,322,3109,1252,1857,7204
Gandhinagar,Gandhinagar (NA) WARD NO.-0031,31,786,3803,1993,1810,517,286,231,184,103,81,12,11,1,2529,1529,1000,1274,464,810,1307,1089,218,1089,958,131,1,5,4,1079,218,131,87,2496,904,1592,5508
Gandhinagar,Gandhinagar (NA) WARD NO.-0032,32,488,2379,1245,1134,258,142,116,173,93,80,59,30,29,1850,1054,796,529,191,338,779,669,110,645,591,54,35,131,31,448,134,78,56,1600,576,1024,3446
Gandhinagar,Gandhinagar (NA) WARD NO.-0033,33,367,1878,972,906,286,164,122,0,0,0,3,1,2,1288,739,549,590,233,357,632,517,115,532,475,57,33,271,4,224,100,42,58,1246,455,791,2720
Gandhinagar,Gandhinagar (NA) WARD NO.-0034,34,1306,5977,3099,2878,955,485,470,458,242,216,232,123,109,3710,2235,1475,2267,864,1403,1952,1649,303,1801,1547,254,9,266,26,1500,151,102,49,4025,1450,2575,8656
Gandhinagar,Gandhinagar (NA) WARD NO.-0035,35,1020,4851,2515,2336,746,386,360,278,155,123,112,59,53,2775,1688,1087,2076,827,1249,1554,1305,249,1449,1229,220,6,2,11,1430,105,76,29,3297,1210,2087,7026
Gandhinagar,Gandhinagar (NA) WARD NO.-0036,36,1525,6887,3629,3258,713,388,325,1090,567,523,473,253,220,5194,2911,2283,1693,718,975,2034,1827,207,1857,1697,160,3,7,12,1835,177,130,47,4853,1802,3051,9974
Gandhinagar,Gandhinagar (NA) WARD NO.-0037,37,304,1367,704,663,167,94,73,200,105,95,34,15,19,1065,583,482,302,121,181,481,394,87,419,337,82,2,8,0,409,62,57,5,886,310,576,1980
