ward_id,ward_name,city,pixel_count,ndvi_mean
1,Ward No - 1,gandhinagar,217922,0.2382
2,Ward No - 2,gandhinagar,230703,0.245
3,Ward No - 3,gandhinagar,25500,0.1971
4,Ward No - 4,gandhinagar,242557,0.2203
5,Ward No - 5,gandhinagar,86858,0.2407
6,Ward No - 6,gandhinagar,76123,0.2149
7,Ward No - 7,gandhinagar,239564,0.2216
8,Ward No - 8,gandhinagar,195982,0.2059
9,Ward No - 9,gandhinagar,98105,0.2248
10,Ward No - 10,gandhinagar,202731,0.1903
11,Ward No - 11,gandhinagar,340385,0.1991
