name,category,city,lat,lon,source
Sardar Patel Ring Road,Road,Ahmedabad,22.978164,72.471328,OSM
Nehrunagar Circle,Road,Ahmedabad,23.022553,72.542856,OSM
Sardar Bridge,Road,Ahmedabad,23.010795,72.577058,OSM
Jawaharlal Nehru Road,Road,Ahmedabad,22.995848,72.534902,OSM
Jawaharlal Nehru Road,Road,Ahmedabad,22.992241,72.521177,OSM
Doctor Ambedkar Bridge,Road,Ahmedabad,22.997308,72.562796,OSM
Sardar Bridge,Road,Ahmedabad,23.011731,72.571931,OSM
Prahlad Nagar Road,Road,Ahmedabad,23.004752,72.509829,OSM
Gulbai Tekra Road,Road,Ahmedabad,23.025833,72.553584,OSM
120 Feet Ring Road,Road,Ahmedabad,23.023839,72.542926,OSM
120 Feet Ring Road,Road,Ahmedabad,23.023847,72.542829,OSM
Jawaharlal Nehru Road,Road,Ahmedabad,22.99591,72.535607,OSM
Jawaharlal Nehru Road,Road,Ahmedabad,22.996271,72.536804,OSM
Ashram Road,Road,Ahmedabad,22.999177,72.544691,OSM
Ashram Road,Road,Ahmedabad,22.999072,72.544642,OSM
Anjali Cross Roads,Road,Ahmedabad,23.004273,72.55311,OSM
Anjali Flyover,Road,Ahmedabad,23.005658,72.555634,OSM
Anjali Flyover,Road,Ahmedabad,23.005791,72.555777,OSM
Dhumketu Marg,Road,Ahmedabad,23.009824,72.562147,OSM
Dhumketu Marg,Road,Ahmedabad,23.009727,72.554731,OSM
Paldi Underpass,Road,Ahmedabad,23.018254,72.561378,OSM
Netaji Subhash Chandra Road,Road,Ahmedabad,23.015,72.563857,OSM
Netaji Subhash Chandra Road,Road,Ahmedabad,23.013035,72.567413,OSM
Ashram Road,Road,Ahmedabad,23.019731,72.56957,OSM
120 Feet Ring Road,Road,Ahmedabad,23.019762,72.543768,OSM
120 Feet Ring Road,Road,Ahmedabad,23.019996,72.543524,OSM
Ashram Road,Road,Ahmedabad,23.011929,72.563392,OSM
120 Feet Ring Road,Road,Ahmedabad,23.016419,72.544377,OSM
Dharanidhar Flyover,Road,Ahmedabad,23.012234,72.545497,OSM
120 Feet Ring Road,Road,Ahmedabad,23.016581,72.544533,OSM
Dharanidhar Flyover,Road,Ahmedabad,23.012042,72.545653,OSM
Manek Baug Road,Road,Ahmedabad,23.017884,72.542131,OSM
120 Feet Ring Road,Road,Ahmedabad,23.006808,72.550643,OSM
Bhudarpura Road,Road,Ahmedabad,23.0144,72.546534,OSM
120 Feet Ring Road,Road,Ahmedabad,23.009079,72.548318,OSM
120 Feet Ring Road,Road,Ahmedabad,23.009243,72.548297,OSM
120 Feet Ring Road,Road,Ahmedabad,23.006128,72.551577,OSM
120 Feet Ring Road,Road,Ahmedabad,23.00852,72.549114,OSM
120 Circular Road,Road,Ahmedabad,23.002028,72.55549,OSM
120 Circular Road,Road,Ahmedabad,22.999423,72.558949,OSM
120 Circular Road,Road,Ahmedabad,23.002125,72.55561,OSM
120 Circular Road,Road,Ahmedabad,22.999187,72.559113,OSM
Doctor Ambedkar Bridge,Road,Ahmedabad,22.997257,72.562731,OSM
120 Feet Circular Road,Road,Ahmedabad,22.996106,72.572912,OSM
Chimanlal Girdharlal Road,Road,Ahmedabad,23.025998,72.556712,OSM
Chimanlal Girdharlal Road,Road,Ahmedabad,23.025796,72.556534,OSM
Netaji Subhash Chandra Road,Road,Ahmedabad,23.026429,72.559849,OSM
Netaji Subhash Chandra Road,Road,Ahmedabad,23.026417,72.559912,OSM
Kavi Nanalal Marg,Road,Ahmedabad,23.023272,72.563789,OSM
Law Garden Circle,Road,Ahmedabad,23.024719,72.559617,OSM
Happy Street,Road,Ahmedabad,23.025463,72.560957,OSM
Netaji Subhash Chandra Road,Road,Ahmedabad,23.024073,72.559613,OSM
Netaji Subhash Chandra Road,Road,Ahmedabad,23.024073,72.559673,OSM
Netaji Subhash Chandra Road,Road,Ahmedabad,23.021843,72.560085,OSM
Netaji Subhash Chandra Road,Road,Ahmedabad,23.022794,72.55989,OSM
Panchvati Road,Road,Ahmedabad,23.021586,72.554902,OSM
Chimanlal Girdharlal Road,Road,Ahmedabad,23.021052,72.556947,OSM
Panchvati Road,Road,Ahmedabad,23.021509,72.554918,OSM
Chimanlal Girdharlal Road,Road,Ahmedabad,23.021005,72.556855,OSM
Surendra Mangaldas Road,Road,Ahmedabad,23.019797,72.55763,OSM
Surendra Mangaldas Road,Road,Ahmedabad,23.01951,72.55546,OSM
Surendra Mangaldas Road,Road,Ahmedabad,23.021416,72.55244,OSM
Ambawadi Circle,Road,Ahmedabad,23.022586,72.550592,OSM
Surendra Mangaldas Road,Road,Ahmedabad,23.021876,72.546863,OSM
Surendra Mangaldas Road,Road,Ahmedabad,23.021926,72.546821,OSM
Dr. Vikram Sarabhai Road,Road,Ahmedabad,23.024239,72.548467,OSM
Dr. Vikram Sarabhai Road,Road,Ahmedabad,23.02389,72.548962,OSM
Parimal Underpass,Road,Ahmedabad,23.017993,72.557883,OSM
Parimal Underpass,Road,Ahmedabad,23.015735,72.558526,OSM
Chimanlal Girdharlal Road,Road,Ahmedabad,23.019259,72.557549,OSM
Chimanlal Girdharlal Road,Road,Ahmedabad,23.019277,72.557606,OSM
Chimanlal Girdharlal Road,Road,Ahmedabad,23.014817,72.559136,OSM
Chimanlal Girdharlal Road,Road,Ahmedabad,23.013705,72.560029,OSM
Chimanlal Girdharlal Road,Road,Ahmedabad,23.012885,72.560831,OSM
Chimanlal Girdharlal Road,Road,Ahmedabad,23.010711,72.563847,OSM
Chimanlal Girdharlal Road,Road,Ahmedabad,23.010848,72.563695,OSM
Satellite Road,Road,Ahmedabad,23.02794,72.51904,OSM
ISKCON Flyover,Road,Ahmedabad,23.02661,72.507258,OSM
ISKCON Flyover,Road,Ahmedabad,23.026653,72.507147,OSM
Shivranjani Flyover,Road,Ahmedabad,23.024122,72.530328,OSM
Shivranjani Flyover,Road,Ahmedabad,23.024128,72.530169,OSM
132 Ft. Ring Road,Road,Ahmedabad,23.017821,72.530167,OSM
132 Ft. Ring Road,Road,Ahmedabad,23.013456,72.530633,OSM
Shyamprasad Mukharji Flyover,Road,Ahmedabad,23.009488,72.531734,OSM
Shyamprasad Mukharji Flyover,Road,Ahmedabad,23.00947,72.531657,OSM
132 Ft. Ring Road,Road,Ahmedabad,23.001538,72.535366,OSM
132 Ft. Ring Road,Road,Ahmedabad,23.001703,72.535382,OSM
100 Ft. Road,Road,Ahmedabad,23.012578,72.514109,OSM
100 Ft. Road,Road,Ahmedabad,23.012064,72.510734,OSM
100 Ft. Road / Anand nagar road,Road,Ahmedabad,23.013138,72.521495,OSM
100 Ft. Road,Road,Ahmedabad,23.0167,72.538589,OSM
100 Ft. Road,Road,Ahmedabad,23.015439,72.534219,OSM
100 Ft. Road,Road,Ahmedabad,23.017373,72.543769,OSM
100 Ft. Road,Road,Ahmedabad,23.017262,72.543524,OSM
Bhudarpura Road,Road,Ahmedabad,23.017411,72.55046,OSM
100 Ft. Road,Road,Ahmedabad,23.017713,72.545249,OSM
100 Ft. Road,Road,Ahmedabad,23.017689,72.54494,OSM
Shantipura circle,Road,Ahmedabad,22.987645,72.471389,OSM
Sanand Cross Roads,Road,Ahmedabad,22.986823,72.494808,OSM
Sanathal Telav Road,Road,Ahmedabad,22.968163,72.444062,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.93643,72.500041,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.942621,72.487654,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.9353,72.513585,OSM
Sanathal Telav Road,Road,Ahmedabad,22.963985,72.473652,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.973897,72.473085,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.973814,72.472909,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.973858,72.473002,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.973835,72.472954,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.973916,72.473125,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.973934,72.473163,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.977781,72.471311,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.999407,72.473709,OSM
Club O7 Road,Road,Ahmedabad,23.007366,72.461075,OSM
Club O7 Road,Road,Ahmedabad,23.005906,72.466059,OSM
200ft. Gala Gymkhana Road,Road,Ahmedabad,23.023505,72.471616,OSM
Vakil Saheb Flyover,Road,Ahmedabad,23.027229,72.476811,OSM
Dr. Jivraj Mehta Road,Road,Ahmedabad,23.007956,72.540027,OSM
Vijubhai Dave Marg,Road,Ahmedabad,23.009459,72.534526,OSM
Swami Vivekananda Bridge,Road,Ahmedabad,23.022591,72.573557,OSM
Surendra Mangaldas Road,Road,Ahmedabad,23.022096,72.56945,OSM
Surendra Mangaldas Road,Road,Ahmedabad,23.02267,72.572173,OSM
Lambha Mandir Road,Road,Ahmedabad,22.931725,72.566494,OSM
Ashram Road,Road,Ahmedabad,23.011869,72.563424,OSM
Ellis Flyover,Road,Ahmedabad,23.022451,72.573226,OSM
Ellis Flyover,Road,Ahmedabad,23.022583,72.572931,OSM
Kavi Nanalal Marg,Road,Ahmedabad,23.023225,72.563778,OSM
Ellis Flyover,Road,Ahmedabad,23.022963,72.571302,OSM
Surendra Mangaldas Road,Road,Ahmedabad,23.019421,72.555477,OSM
Surendra Mangaldas Road,Road,Ahmedabad,23.01971,72.557643,OSM
Telav-Guma Road,Road,Ahmedabad,23.023938,72.450722,OSM
Sabarmati Riverfront road,Road,Ahmedabad,23.01828,72.572948,OSM
Sabarmati Riverfront road,Road,Ahmedabad,23.018455,72.573052,OSM
Sabarmati Riverfront road,Road,Ahmedabad,23.011786,72.572369,OSM
Sabarmati Riverfront Road,Road,Ahmedabad,23.02272,72.573576,OSM
Sabarmati Riverfront Road,Road,Ahmedabad,23.022706,72.573661,OSM
Sabarmati Riverfront Road,Road,Ahmedabad,23.025039,72.573322,OSM
Sabarmati Riverfront Road,Road,Ahmedabad,23.00806,72.57056,OSM
Sabarmati Riverfront Road,Road,Ahmedabad,23.0247,72.573297,OSM
Sabarmati Riverfront Road,Road,Ahmedabad,23.008091,72.570487,OSM
Vastrapur railway station road,Road,Ahmedabad,23.008426,72.520702,OSM
Mumatpura - Karnavati Club Road,Road,Ahmedabad,23.019309,72.499501,OSM
Ellis Flyover,Road,Ahmedabad,23.023416,72.571343,OSM
Parimal Underpass,Road,Ahmedabad,23.016669,72.558148,OSM
Parimal Underpass,Road,Ahmedabad,23.017167,72.558076,OSM
Parimal Underpass,Road,Ahmedabad,23.015766,72.558596,OSM
Parimal Underpass,Road,Ahmedabad,23.01798,72.557806,OSM
Vijubhai Dave Marg,Road,Ahmedabad,23.013683,72.551388,OSM
Prahlad Nagar,Road,Ahmedabad,23.000243,72.505405,OSM
132 Ft. Ring Road,Road,Ahmedabad,22.996405,72.537745,OSM
132 Ft. Ring Road,Road,Ahmedabad,22.996499,72.537807,OSM
Jawaharlal Nehru Road,Road,Ahmedabad,22.996499,72.537807,OSM
Sun South Winds Road,Road,Ahmedabad,23.016799,72.471255,OSM
Parimal Cross Roads,Road,Ahmedabad,23.01964,72.557485,OSM
Ramdevnagar road,Road,Ahmedabad,23.022665,72.50964,OSM
VIP Road,Road,Ahmedabad,23.011414,72.463536,OSM
Telav-Guma Road,Road,Ahmedabad,23.012501,72.444364,OSM
Sabarmati Riverfront Road,Road,Ahmedabad,23.002479,72.571035,OSM
Sabarmati Riverfront Road,Road,Ahmedabad,22.997644,72.567312,OSM
100 Ft. Road,Road,Ahmedabad,23.014874,72.531761,OSM
132 Ft. Ring Road,Road,Ahmedabad,23.013942,72.530683,OSM
100 Ft. Road / Anand nagar road,Road,Ahmedabad,23.015122,72.532523,OSM
132 Ft. Ring Road,Road,Ahmedabad,23.014698,72.530608,OSM
100 Ft. Road / Anand nagar road,Road,Ahmedabad,23.014692,72.530518,OSM
132 Ft. Ring Road,Road,Ahmedabad,23.018274,72.530083,OSM
100 Ft. Road,Road,Ahmedabad,23.0146,72.530618,OSM
132 Ft. Ring Road,Road,Ahmedabad,23.014692,72.530518,OSM
Satellite Road,Road,Ahmedabad,23.024272,72.530422,OSM
Satellite Road,Road,Ahmedabad,23.027599,72.521205,OSM
