ward_id,name,basin,cemetery,commercial,farmland,forest,industrial,plantation,recreation_ground,residential,retail,total_landuse_km2,ward_area_km2,basin_pct,cemetery_pct,commercial_pct,farmland_pct,forest_pct,industrial_pct,plantation_pct,recreation_ground_pct,residential_pct,retail_pct
22,INDIA COLONY,0.0,0.0,0.0,0.0,0.0,0.38274418595412385,0.0,0.0,0.17328806583437845,0.0,0.5560322517885024,4.573052533906986,0.0,0.0,0.0,0.0,0.0,8.37,0.0,0.0,3.79,0.0
23,THAKKARBAPANAGAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005084076297590678,0.0,0.005084076297590678,3.0964159206292154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0
24,NIKOL,0.0,0.0,0.011060127800616047,0.0,0.0,1.6299802611328171,0.0,0.0,1.145271242540763,0.0,2.786311631474196,11.49337065424202,0.0,0.0,0.1,0.0,0.0,14.18,0.0,0.0,9.96,0.0
25,VIRATNAGAR,0.0,0.0,0.0,0.0,0.0,0.7339176053699829,0.0,0.0,0.17334133603897767,0.0,0.9072589414089605,3.745445943589002,0.0,0.0,0.0,0.0,0.0,19.59,0.0,0.0,4.63,0.0
26,BAPUNAGAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3276017920703141,0.0,0.3276017920703141,2.6817675126826463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.22,0.0
27,SARASPUR-RAKHIYAL,0.0,0.0,0.030975804022915037,0.0,0.0,0.0,0.0,0.0,2.0814796393948236,0.0,2.1124554434177387,3.060012809983101,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,68.02,0.0
28,KHADIA,0.0,0.0,0.370976165836011,0.0,0.0,0.03258883314710564,0.0,0.0,2.512608622080996,0.0,2.9161736210641123,3.269364246545433,0.0,0.0,11.35,0.0,0.0,1.0,0.0,0.0,76.85,0.0
29,JAMALPUR,0.0,0.00287476659876435,0.15130561987401014,0.0,0.0,0.04828641388072476,0.0,0.002097457652287556,1.2817867456643683,0.02676140972546805,1.5131124133956233,2.8150424881640785,0.0,0.1,5.37,0.0,0.0,1.72,0.0,0.07,45.53,0.95
30,PALDI,0.0,0.0,0.3097311867150397,0.0,0.0,0.0,0.0,0.033687860022035734,3.4053709309594047,0.0,3.74878997769648,5.5941419599461835,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.6,60.87,0.0
31,VASNA,0.0,0.0,0.0,0.0,0.0,0.01532175670345391,0.0,0.0,2.267615858210655,0.0,2.282937614914109,5.577888554905606,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,40.65,0.0
32,VEJALPUR,0.0,0.0,0.013753309172632762,0.0,0.0,0.0,0.0,0.0,1.9200509553239762,0.0,1.933804264496609,2.900773784715825,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,66.19,0.0
33,SARKHEJ,0.0,0.0,0.10193298946470247,0.0,0.0,1.1563367397330864,0.0,0.0004586079046093583,0.38206330766469737,0.0,1.6407916447670956,23.64008199912347,0.0,0.0,0.43,0.0,0.0,4.89,0.0,0.0,1.62,0.0
